type,min,1-4th,2-4th,3-4th,max,mean,SD
Img,30.0,36811.5,255475.0,1495068.5,31497856.0,2147722.0008464586,4806842.72393848
Mov,38.0,56365.0,266914.0,1133501.0,31261875.0,1880837.1620843152,4662023.161654595
None,30.0,7701.0,94501.0,933086.0,31534907.0,1826222.3933606306,4634236.945507731
Both,nan,nan,nan,nan,nan,nan,nan
