type,min,1-4th,2-4th,3-4th,max,mean,SD
Img,1.0,637.0,11731.0,119660.0,31458554.0,590161.986181365,2442335.4741414357
Mov,1.0,203.5,8671.0,102380.5,29169420.0,631543.7288945524,2831481.0194655913
None,1.0,624.0,10776.0,158892.5,31502019.0,790479.1699386653,2970981.0039709876
Both,nan,nan,nan,nan,nan,nan,nan
