type,~2015,2016,2017,2018,2019,2020,2021
None,0.9999882536736635,0.9999276894987075,0.9646039879692547,0.943787201986228,0.9353578991952562,0.9315127426366245,0.9334576031032601
Img,1.1746326336438279e-05,7.231050129255021e-05,0.03212376072184472,0.05220214538085285,0.0576281236764083,0.06089111771769072,0.05933591164070938
Mov,0.0,0.0,0.0032722513089005235,0.004010652632919182,0.007013977128335451,0.007596139645684712,0.007206485256030568
