type,min,1-4th,2-4th,3-4th,max,mean,SD
Img,0,209.0,449.0,901.0,260173,995.1795701200157,4142.263535118145
Mov,0,237.0,468.0,897.0,58886,844.80885048442,2228.5803913306754
None,0,59.0,251.0,880.0,261431,1350.6214172346185,4811.037894892301
Both,nan,nan,nan,nan,nan,nan,nan
