type,min,1-4th,2-4th,3-4th,max,mean,SD
Img,0,1.0,2.0,5.0,283,4.038846398016869,6.873334838120493
Mov,0,1.0,3.0,7.0,120,5.557475778999738,8.709744397904156
None,0,0.0,1.0,3.0,439,2.2933269906475022,4.618510597705642
Both,nan,nan,nan,nan,nan,nan,nan
